JobID|JobIDRaw|JobName|Partition|MaxVMSize|MaxVMSizeNode|MaxVMSizeTask|AveVMSize|MaxRSS|MaxRSSNode|MaxRSSTask|AveRSS|MaxPages|MaxPagesNode|MaxPagesTask|AvePages|MinCPU|MinCPUNode|MinCPUTask|AveCPU|NTasks|AllocCPUS|Elapsed|State|ExitCode|AveCPUFreq|ReqCPUFreqMin|ReqCPUFreqMax|ReqCPUFreqGov|ReqMem|ConsumedEnergy|MaxDiskRead|MaxDiskReadNode|MaxDiskReadTask|AveDiskRead|MaxDiskWrite|MaxDiskWriteNode|MaxDiskWriteTask|AveDiskWrite|ReqTRES|AllocTRES|TRESUsageInAve|TRESUsageInMax|TRESUsageInMaxNode|TRESUsageInMaxTask|TRESUsageInMin|TRESUsageInMinNode|TRESUsageInMinTask|TRESUsageInTot|TRESUsageOutMax|TRESUsageOutMaxNode|TRESUsageOutMaxTask|TRESUsageOutAve|TRESUsageOutTot|
14886817|14886817|mummer4|dori||||||||||||||||||34|00:00:00|CANCELLED by 91591|0:0||Unknown|Unknown|Unknown|385G|0|||||||||billing=34,cpu=34,mem=385G,node=1|||||||||||||||
14887044|14887044|mummer4|dori||||||||||||||||||34|00:22:06|FAILED|6:0||Unknown|Unknown|Unknown|385G|0|||||||||billing=34,cpu=34,mem=385G,node=1|billing=34,cpu=34,mem=385G,node=1||||||||||||||
14887044.batch|14887044.batch|batch||179341900K|n0009.dori0|0|179341900K|134219856K|n0009.dori0|0|134219856K|89|n0009.dori0|0|89|00:18:14|n0009.dori0|0|00:18:14|1|34|00:22:06|FAILED|6:0|2.79M|0|0|0||0|0.01M|n0009.dori0|0|0.01M|0.00M|n0009.dori0|0|0.00M||cpu=34,mem=385G,node=1|cpu=00:18:14,energy=0,fs/disk=8008,mem=134219856K,pages=89,vmem=179341900K|cpu=00:18:14,energy=0,fs/disk=8008,mem=134219856K,pages=89,vmem=179341900K|cpu=n0009.dori0,energy=n0009.dori0,fs/disk=n0009.dori0,mem=n0009.dori0,pages=n0009.dori0,vmem=n0009.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:18:14,energy=0,fs/disk=8008,mem=134219856K,pages=89,vmem=179341900K|cpu=n0009.dori0,energy=n0009.dori0,fs/disk=n0009.dori0,mem=n0009.dori0,pages=n0009.dori0,vmem=n0009.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:18:14,energy=0,fs/disk=8008,mem=134219856K,pages=89,vmem=179341900K|energy=0,fs/disk=214|energy=n0009.dori0,fs/disk=n0009.dori0|fs/disk=0|energy=0,fs/disk=214|energy=0,fs/disk=214|
14887044.extern|14887044.extern|extern||48K|n0009.dori0|0|48K|48K|n0009.dori0|0|48K|0|n0009.dori0|0|0|00:00:00|n0009.dori0|0|00:00:00|1|34|00:22:07|COMPLETED|0:0|0|0|0|0||0|0.01M|n0009.dori0|0|0.01M|0.00M|n0009.dori0|0|0.00M||billing=34,cpu=34,mem=385G,node=1|cpu=00:00:00,energy=0,fs/disk=5329,mem=48K,pages=0,vmem=48K|cpu=00:00:00,energy=0,fs/disk=5329,mem=48K,pages=0,vmem=48K|cpu=n0009.dori0,energy=n0009.dori0,fs/disk=n0009.dori0,mem=n0009.dori0,pages=n0009.dori0,vmem=n0009.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=48K,pages=0,vmem=48K|cpu=n0009.dori0,energy=n0009.dori0,fs/disk=n0009.dori0,mem=n0009.dori0,pages=n0009.dori0,vmem=n0009.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=48K,pages=0,vmem=48K|energy=0,fs/disk=1|energy=n0009.dori0,fs/disk=n0009.dori0|fs/disk=0|energy=0,fs/disk=1|energy=0,fs/disk=1|
14887226|14887226|bowtie1|dori||||||||||||||||||34|00:00:05|FAILED|1:0||Unknown|Unknown|Unknown|385G|0|||||||||billing=34,cpu=34,mem=385G,node=1|billing=34,cpu=34,mem=385G,node=1||||||||||||||
14887226.batch|14887226.batch|batch||20724K|n0064.dori0|0|20724K|0|n0064.dori0|0|0|121|n0064.dori0|0|121|00:00:00|n0064.dori0|0|00:00:00|1|34|00:00:05|FAILED|1:0|2.79M|0|0|0||0|0|n0064.dori0|0|0|0.00M|n0064.dori0|0|0.00M||cpu=34,mem=385G,node=1|cpu=00:00:00,energy=0,fs/disk=0,mem=0,pages=121,vmem=20724K|cpu=00:00:00,energy=0,fs/disk=0,mem=0,pages=121,vmem=20724K|cpu=n0064.dori0,energy=n0064.dori0,fs/disk=n0064.dori0,mem=n0064.dori0,pages=n0064.dori0,vmem=n0064.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=0,mem=0,pages=121,vmem=20724K|cpu=n0064.dori0,energy=n0064.dori0,fs/disk=n0064.dori0,mem=n0064.dori0,pages=n0064.dori0,vmem=n0064.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=0,mem=0,pages=121,vmem=20724K|energy=0,fs/disk=1|energy=n0064.dori0,fs/disk=n0064.dori0|fs/disk=0|energy=0,fs/disk=1|energy=0,fs/disk=1|
14887226.extern|14887226.extern|extern||12K|n0064.dori0|0|12K|12K|n0064.dori0|0|12K|0|n0064.dori0|0|0|00:00:00|n0064.dori0|0|00:00:00|1|34|00:00:06|COMPLETED|0:0|2.79M|0|0|0||0|0.01M|n0064.dori0|0|0.01M|0.00M|n0064.dori0|0|0.00M||billing=34,cpu=34,mem=385G,node=1|cpu=00:00:00,energy=0,fs/disk=5329,mem=12K,pages=0,vmem=12K|cpu=00:00:00,energy=0,fs/disk=5329,mem=12K,pages=0,vmem=12K|cpu=n0064.dori0,energy=n0064.dori0,fs/disk=n0064.dori0,mem=n0064.dori0,pages=n0064.dori0,vmem=n0064.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=12K,pages=0,vmem=12K|cpu=n0064.dori0,energy=n0064.dori0,fs/disk=n0064.dori0,mem=n0064.dori0,pages=n0064.dori0,vmem=n0064.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=5329,mem=12K,pages=0,vmem=12K|energy=0,fs/disk=1|energy=n0064.dori0,fs/disk=n0064.dori0|fs/disk=0|energy=0,fs/disk=1|energy=0,fs/disk=1|
14887241|14887241|bowtie2|dori||||||||||||||||||34|00:00:04|FAILED|2:0||Unknown|Unknown|Unknown|385G|0|||||||||billing=34,cpu=34,mem=385G,node=1|billing=34,cpu=34,mem=385G,node=1||||||||||||||
14887241.batch|14887241.batch|batch||15036K|n0064.dori0|0|15036K|0|n0064.dori0|0|0|76|n0064.dori0|0|76|00:00:00|n0064.dori0|0|00:00:00|1|34|00:00:04|FAILED|2:0|2.79M|0|0|0||0|0|n0064.dori0|0|0|0.00M|n0064.dori0|0|0.00M||cpu=34,mem=385G,node=1|cpu=00:00:00,energy=0,fs/disk=0,mem=0,pages=76,vmem=15036K|cpu=00:00:00,energy=0,fs/disk=0,mem=0,pages=76,vmem=15036K|cpu=n0064.dori0,energy=n0064.dori0,fs/disk=n0064.dori0,mem=n0064.dori0,pages=n0064.dori0,vmem=n0064.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=0,mem=0,pages=76,vmem=15036K|cpu=n0064.dori0,energy=n0064.dori0,fs/disk=n0064.dori0,mem=n0064.dori0,pages=n0064.dori0,vmem=n0064.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=0,mem=0,pages=76,vmem=15036K|energy=0,fs/disk=1|energy=n0064.dori0,fs/disk=n0064.dori0|fs/disk=0|energy=0,fs/disk=1|energy=0,fs/disk=1|
14887241.extern|14887241.extern|extern||12K|n0064.dori0|0|12K|12K|n0064.dori0|0|12K|0|n0064.dori0|0|0|00:00:00|n0064.dori0|0|00:00:00|1|34|00:00:05|COMPLETED|0:0|2.79M|0|0|0||0|0.00M|n0064.dori0|0|0.00M|0.00M|n0064.dori0|0|0.00M||billing=34,cpu=34,mem=385G,node=1|cpu=00:00:00,energy=0,fs/disk=2332,mem=12K,pages=0,vmem=12K|cpu=00:00:00,energy=0,fs/disk=2332,mem=12K,pages=0,vmem=12K|cpu=n0064.dori0,energy=n0064.dori0,fs/disk=n0064.dori0,mem=n0064.dori0,pages=n0064.dori0,vmem=n0064.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=2332,mem=12K,pages=0,vmem=12K|cpu=n0064.dori0,energy=n0064.dori0,fs/disk=n0064.dori0,mem=n0064.dori0,pages=n0064.dori0,vmem=n0064.dori0|cpu=0,fs/disk=0,mem=0,pages=0,vmem=0|cpu=00:00:00,energy=0,fs/disk=2332,mem=12K,pages=0,vmem=12K|energy=0,fs/disk=1|energy=n0064.dori0,fs/disk=n0064.dori0|fs/disk=0|energy=0,fs/disk=1|energy=0,fs/disk=1|
