tool	true_positives	false_positives	ground_truth_total	precision	recall	f1_score
bbmapskimmer	387388	1001	756163	0.9974226870482944	0.5123075315771864	0.6769251200469704
bbmapskimmermod	613253	1177	756163	0.998084403430822	0.8110063570949649	0.8948725113874066
blastn	434162	93985	756163	0.8220476496127025	0.5741645650474831	0.6761015642640795
bowtie1	756163	45753	756163	0.9429453957771138	1.0	0.9706349934759406
bowtie2	567761	162	756163	0.9997147500629486	0.7508447252774865	0.8575893106641109
bwa_mem	494880	9488	756163	0.9811883386733496	0.6544620670411009	0.7851929067988014
hisat2	219148	0	756163	1.0	0.28981582013401874	0.4493910147634959
lexicmap	133104	31525	756163	0.8085088289426529	0.17602553946701968	0.28910763777270004
minimap2	133	1	756163	0.9925373134328358	0.0001758880029834837	0.000351713678620965
minimap2_mod	141	1	756163	0.9929577464788732	0.00018646773248624966	0.0003728654444965986
mmseqs2	400732	49478	756163	0.8901001754736678	0.5299545203878	0.6643583700895163
mmseqs2map	402567	39056	756163	0.9115625771302672	0.5323812458424969	0.6721851816601631
mummer4	458623	35313	756163	0.9285069320721713	0.6065134104683778	0.7337386878959187
spacer_containment	0	2	756163	0.0	0.0	0.0
strobealign	16845	40	756163	0.9976310334616524	0.022276942934261527	0.04358073496083036
