bowtie2	spacer_containment	minimap2	hisat2	strobealign	lexicmap	bbmapskimmer	mummer4	blastn	bwa_mem	bowtie1	mmseqs2	tool1
0	1924529	1924448	286373	1884831	1114776	1111513	379877	443603	1355432	0	976455	bowtie2
0	0	0	0	0	0	0	0	0	0	0	0	spacer_containment
5	86	0	5	12	47	5	0	0	24	5	5	minimap2
0	1638156	1638075	0	1600946	831266	949060	151803	199790	1078027	0	757563	hisat2
0	39698	39624	2488	0	23793	14725	6984	9481	20347	0	14125	strobealign
39132	848885	848846	41995	832980	0	512004	4366	2756	562446	39132	371442	lexicmap
1230	814246	814165	125150	789273	477365	0	167337	191959	534225	1230	313701	bbmapskimmer
60616	1605268	1605182	118915	1572554	760749	958359	0	96917	1093974	60616	704254	mummer4
53195	1534121	1534035	95755	1503904	687992	911834	25770	0	1040472	53195	667015	blastn
0	569097	569035	8968	549746	282658	289076	57803	75448	0	0	182460	bwa_mem
0	1924529	1924448	286373	1884831	1114776	1111513	379877	443603	1355432	0	976455	bowtie1
23622	971696	971615	91103	946123	494253	471151	70682	104590	585059	23622	0	mmseqs2
