bowtie2	spacer_containment	minimap2	hisat2	strobealign	lexicmap	bbmapskimmer	mummer4	blastn	bwa_mem	bowtie1	mmseqs2	tool1
0	4913650	6812149	1619190	6667130	3782166	4250204	1105456	1509580	4569194	696	3421548	bowtie2
0	0	1898848	23370	1857008	471412	1521598	38631	153786	1215797	0	877491	spacer_containment
48	397	0	91	109	221	48	0	21	258	48	20	minimap2
0	3317830	5193002	0	5077143	2287951	3371228	425488	667611	3349194	0	2432410	hisat2
1812	105340	146892	31015	0	82230	60164	24414	33342	71735	549	50974	strobealign
251393	1854289	3281549	376368	3216775	0	2293611	16623	32441	2143512	245332	1487061	lexicmap
194632	2379676	2756577	934846	2669910	1768812	0	680993	785665	1735872	5917	1084402	bbmapskimmer
529495	4376320	6236140	1468717	6113771	2971435	4160604	0	496550	4230306	505437	2886395	mummer4
602529	4160385	5905071	1379750	5791609	2656163	3934186	165460	0	3978803	460291	2670465	blastn
22412	1582665	2265577	421602	2190271	1127503	1244662	259485	339072	0	3245	726758	bwa_mem
1184470	6097424	7995923	2802964	7849641	4959879	5245263	2265172	2551116	5733801	0	4470396	bowtie1
365574	2735167	3756147	995626	3660318	1961860	2084000	406382	521542	2217566	230648	0	mmseqs2
