tool	mismatches	true_positives	false_positives	false_negatives	ground_truth_total	precision	recall	f1_score
bowtie2	0	1899024	3	0	1899024	0.9999984202436301	1.0	0.9999992101211911
bowtie2	1	1924529	3	67810	1992339	0.999998441179466	0.9659646275056605	0.9826869457789139
bowtie2	2	1573821	3	562176	2135813	0.9999980938148103	0.7368720950757394	0.8485040450049426
bowtie2	3	1415300	3	1195951	2611251	0.999997880312555	0.5420007498321686	0.7029832457232662
bbmapskimmermod	0	1899024	1130	0	1899024	0.999405311358974	1.0	0.999702567239545
bbmapskimmermod	1	1903036	1130	89303	1992339	0.9994065643436549	0.9551768047505972	0.9767912526738707
bbmapskimmermod	2	1734297	1130	401516	2135813	0.9993488634209333	0.8120078864582245	0.8959904320062821
bbmapskimmermod	3	1534102	1130	1077149	2611251	0.9992639548941137	0.5874969506952797	0.7399533532393596
bowtie1	0	1899024	0	0	1899024	1.0	1.0	1.0
bowtie1	1	1924529	0	67810	1992339	1.0	0.9659646275056605	0.9826876984366081
bowtie1	2	1934586	0	202481	2135813	1.0	0.9057843547164476	0.9505633231533323
bowtie1	3	2238309	0	372942	2611251	1.0	0.8571788005059644	0.9230977655704847
mummer4	0	1860393	250245	38631	1899024	0.8814363239930296	0.9796574450875818	0.927955024637987
mummer4	1	1605268	250245	387071	1992339	0.8651343321227067	0.8057203116537899	0.8343709685299746
mummer4	2	1432751	250245	703062	2135813	0.8513098070345978	0.6708223051362643	0.7503653626038905
mummer4	3	1338301	250245	1272950	2611251	0.8424691510349716	0.5125133508804783	0.6373169941309068
minimap2_mod	0	176	49	1898848	1899024	0.7822222222222223	0.00009267918678226289	0.00018533641455122525
minimap2_mod	1	86	49	1992253	1992339	0.6370370370370371	0.00004316534485346118	0.00008632484037432859
minimap2_mod	2	91	49	2135722	2135813	0.65	0.00004260672633793314	0.00008520786740157671
minimap2_mod	3	228	49	2611023	2611251	0.8231046931407943	0.00008731447110982437	0.00017461041964704187
strobealign	0	42016	193	1857008	1899024	0.9954275154587884	0.02212504949911112	0.0432879515235935
strobealign	1	39698	193	1952641	1992339	0.9951618159484595	0.01992532395340351	0.03906841253204608
strobealign	2	34729	193	2101084	2135813	0.9944733978580838	0.01626031867022066	0.03199745708250892
strobealign	3	30913	193	2580338	2611251	0.9937954092458047	0.01183838704130702	0.023398049544402968
blastn	0	1745238	596453	153786	1899024	0.7452896219014379	0.9190184010312666	0.8230866728841716
blastn	1	1534121	596453	458218	1992339	0.7200505591450942	0.7700100233946131	0.744192758857633
blastn	2	1355458	596453	780355	2135813	0.6944261290601876	0.6346332754787053	0.6631846964227525
